MAFbin MEAN_FST COMP
0.1 0.00500129198029905 NAM.FRA.2
0.2 0.0121350054308599 NAM.FRA.2
0.3 0.0891886527881137 NAM.FRA.2
0.4 0.201110539387675 NAM.FRA.2
0.5 0.342366171751973 NAM.FRA.2
0.1 0.000562618464927212 NAM.FRA.3
0.2 0.00330373756647913 NAM.FRA.3
0.3 0.0552529924813864 NAM.FRA.3
0.4 0.134926343771356 NAM.FRA.3
0.5 0.197731035395161 NAM.FRA.3
0.1 0.0329328485287049 NAM.FRG
0.2 0.0839042504078388 NAM.FRG
0.3 0.120833015094048 NAM.FRG
0.4 0.143066986113359 NAM.FRG
0.5 0.187231088975037 NAM.FRG
0.1 0.00892629430933618 NAM.IND
0.2 0.0231723899393636 NAM.IND
0.3 0.0840274344610356 NAM.IND
0.4 0.146429423658247 NAM.IND
0.5 0.248849011782557 NAM.IND
0.1 0.0164501376214945 NAM.STO
0.2 0.0370783488415617 NAM.STO
0.3 0.0833405297528448 NAM.STO
0.4 0.112095308815205 NAM.STO
0.5 0.201089953663758 NAM.STO
0.1 0.0855681446321442 STA.1.ACO
0.2 0.0855503552856303 STA.1.ACO
0.3 0.106022681846948 STA.1.ACO
0.4 0.123771921641224 STA.1.ACO
0.5 0.168105173021057 STA.1.ACO
0.1 0.0488785134009005 STA.1.AUS.1
0.2 0.102408171532003 STA.1.AUS.1
0.3 0.159562671508851 STA.1.AUS.1
0.4 0.183215208335565 STA.1.AUS.1
0.5 0.21215983519862 STA.1.AUS.1
0.1 0.0135500947460626 STA.1.BEN
0.2 0.0727900784747334 STA.1.BEN
0.3 0.0940879807339449 STA.1.BEN
0.4 0.0470010218939394 STA.1.BEN
0.5 0.0980761206896552 STA.1.BEN
0.1 0.00829053215055512 STA.1.CAP
0.2 0.0105324179481083 STA.1.CAP
0.3 0.0217850258864322 STA.1.CAP
0.4 0.0911807683632134 STA.1.CAP
0.5 0.165648926576786 STA.1.CAP
0.1 0.0395664765472032 STA.1.FRA.1
0.2 0.068221029497281 STA.1.FRA.1
0.3 0.104993230644103 STA.1.FRA.1
0.4 0.156648174602326 STA.1.FRA.1
0.5 0.190615444685917 STA.1.FRA.1
0.1 0.045916770882229 STA.1.FRA.2
0.2 0.0535779350294906 STA.1.FRA.2
0.3 0.079694451727151 STA.1.FRA.2
0.4 0.124173872656869 STA.1.FRA.2
0.5 0.189916738154938 STA.1.FRA.2
0.1 0.0063358595164722 STA.1.FRA.3
0.2 0.0161664106316487 STA.1.FRA.3
0.3 0.0580306694669757 STA.1.FRA.3
0.4 0.124114295877045 STA.1.FRA.3
0.5 0.198850254973545 STA.1.FRA.3
0.1 0.0160972633234078 STA.1.FRG
0.2 0.0561790961766896 STA.1.FRG
0.3 0.110295277937195 STA.1.FRG
0.4 0.154103498918245 STA.1.FRG
0.5 0.203224376961043 STA.1.FRG
0.1 0.0631481093048133 STA.1.IND
0.2 0.0930207871525169 STA.1.IND
0.3 0.129124722490489 STA.1.IND
0.4 0.150849869340664 STA.1.IND
0.5 0.214122846060074 STA.1.IND
0.1 0.0523552909834264 STA.1.MOR
0.2 0.0952461630455246 STA.1.MOR
0.3 0.133798280407109 STA.1.MOR
0.4 0.144511096677263 STA.1.MOR
0.5 0.192161535361419 STA.1.MOR
0.1 0.0207755579180219 STA.1.NAM
0.2 0.092248854042989 STA.1.NAM
0.3 0.167059117712103 STA.1.NAM
0.4 0.221628058658646 STA.1.NAM
0.5 0.318234709012079 STA.1.NAM
0.1 0.0415077127667034 STA.1.STA.2
0.2 0.0826660952164471 STA.1.STA.2
0.3 0.159739456776307 STA.1.STA.2
0.4 0.199881978208284 STA.1.STA.2
0.5 0.237328573666952 STA.1.STA.2
0.1 0.028629655752735 STA.1.STA.3
0.2 0.0709958472581063 STA.1.STA.3
0.3 0.122816273906001 STA.1.STA.3
0.4 0.146942999148666 STA.1.STA.3
0.5 0.203680672450047 STA.1.STA.3
0.1 0.0899355918106607 STA.1.STO
0.2 0.173126321509899 STA.1.STO
0.3 0.23458848740008 STA.1.STO
0.4 0.249920693469794 STA.1.STO
0.5 0.323538865318554 STA.1.STO
0.1 0.0661310741404782 STA.1.ZAI
0.2 0.141134377437112 STA.1.ZAI
0.3 0.208400172257659 STA.1.ZAI
0.4 0.229471096131557 STA.1.ZAI
0.5 0.295890820886075 STA.1.ZAI
0.1 0.145253236150699 STA.2.ACO
0.2 0.143823318293716 STA.2.ACO
0.3 0.182351390010082 STA.2.ACO
0.4 0.155771276365032 STA.2.ACO
0.5 0.163634357229516 STA.2.ACO
0.1 0.0195060329932281 STA.2.CAP
0.2 0.0192234816367417 STA.2.CAP
0.3 0.0237845540213523 STA.2.CAP
0.4 0.0389893908420039 STA.2.CAP
0.5 0.0683560887941176 STA.2.CAP
0.1 0.0035831629228884 STA.2.FRA.1
0.2 0.0127213372627275 STA.2.FRA.1
0.3 0.0460357940146324 STA.2.FRA.1
0.4 0.0935269509215457 STA.2.FRA.1
0.5 0.124070602515764 STA.2.FRA.1
0.1 0.0562304808685921 STA.2.FRA.2
0.2 0.0638088501091749 STA.2.FRA.2
0.3 0.0648235896778355 STA.2.FRA.2
0.4 0.0529969581911401 STA.2.FRA.2
0.5 0.0411039253266555 STA.2.FRA.2
0.1 0.011163354971445 STA.2.FRA.3
0.2 0.0411071575069776 STA.2.FRA.3
0.3 0.131400524006472 STA.2.FRA.3
0.4 0.113120673730115 STA.2.FRA.3
0.5 0.114341344285714 STA.2.FRA.3
0.1 0.00558509837085125 STA.2.FRG
0.2 0.0295794435023832 STA.2.FRG
